Gene_ID	Healthy_012	Healthy_011	Healthy_015	Healthy_013	AcneInversa_ROS11E	AcneInversa_ROS8C1	AcneInversa_ROS4D1
Group	Healthy	Healthy	Healthy	Healthy	Acne_Inversa	Acne_Inversa	Acne_Inversa
ENSG00000135457	5.97894	5.81942	5.98637	5.85125	6.14701	5.96676	6.02704
ENSG00000244540	1.28727	1.7588	1.92319	0.941668	1.92319	1.28727	0.198042
ENSG00000257246	4.04413	3.98367	4.03297	3.86898	4.16354	4.02823	3.5911
ENSG00000200953	1.28727	2.54916	1.6146	1.92319	2.34641	2.2965	1.6146
ENSG00000199824	2.18708	1.92319	2.31012	2.78181	2.28289	2.64471	2.0309
ENSG00000184271	5.32923	5.39253	5.49125	5.39502	5.15732	5.30215	5.34588
ENSG00000278126	0.941668	2.33498	2.32255	2.48625	2.44037	2.64471	3.1952
ENSG00000183283	7.10233	7.256	7.1595	7.11155	7.19024	7.19024	7.40536
ENSG00000170545	5.19724	5.06686	5.18305	5.31976	4.8827	4.99548	4.57956
ENSG00000110934	4.12869	3.55144	4.12869	4.31933	6.44023	6.16703	6.59247
ENSG00000139629	5.73711	5.39715	5.75028	5.55542	5.82626	6.44841	5.5221
ENSG00000050438	3.43372	3.17293	3.26127	3.38703	4.80292	4.84508	5.31682
ENSG00000271065	0.941668	1.16398	0	0	1.7588	0.198042	2.0309
ENSG00000196876	3.58076	3.83906	3.55144	3.91375	3.90104	3.57317	4.14118
ENSG00000260473	2.18708	2.31012	2.73215	2.15841	2.90853	2.4518	2.44037
ENSG00000261308	2.48625	2.61625	3.04031	2.78181	3.31449	3.5095	2.44037
ENSG00000139567	6.20108	6.3068	6.34284	6.19973	6.48933	6.66215	6.5473
ENSG00000135503	6.8712	7.05318	7.15024	6.98742	6.32694	6.27197	5.88657
ENSG00000206992	0.594126	1.58855	1.20508	0.941668	0.941668	0.594126	1.35103
ENSG00000161835	4.98685	4.73793	4.80405	4.98854	5.46991	5.21281	4.877
ENSG00000123358	5.32923	5.64381	5.08202	6.24043	6.26941	5.5256	4.89431
ENSG00000259884	0	0.982765	0.198042	0.396084	2.55902	1.6146	1.35103
ENSG00000123395	5.16699	5.32619	5.2788	5.2788	4.88663	5.10024	4.87502
ENSG00000257542	3.81918	3.81388	3.42958	3.15194	1.58855	1.96134	0.198042
ENSG00000272724	1.47854	1.16398	0.198042	0.941668	0.941668	0.198042	0.198042
ENSG00000257989	2.31012	2.65337	2.39632	1.44666	0	1.28727	0.198042
ENSG00000258279	1.995	2.0309	1.73678	1.92319	1.7588	1.28727	0.198042
ENSG00000167767	8.04675	7.92953	8.194	8.2078	7.28492	7.27355	3.5095
ENSG00000257137	0.594126	1.66669	1.6146	1.44666	1.86302	1.28727	0.198042
ENSG00000135480	8.44872	8.86072	8.32681	8.19537	5.75691	4.63598	2.65337
ENSG00000257671	5.07575	5.57874	4.4465	4.87888	2.95717	1.28727	0.198042
ENSG00000170442	7.15718	5.79188	6.54785	6.00521	5.81901	4.64228	2.0309
ENSG00000135477	2.40776	2.54916	2.12653	2.72349	0.594126	0.198042	0.198042
ENSG00000205426	6.77899	5.1909	6.12181	5.67765	5.35583	3.96421	1.6146
ENSG00000257829	3.64315	2.34641	2.0309	1.66669	0.594126	0.941668	0.198042
ENSG00000170523	6.59103	5.55934	5.42124	5.15231	4.96457	3.28578	0.396084
ENSG00000135443	7.79361	6.5325	7.37445	6.7154	6.75826	5.60129	0.396084
ENSG00000161849	2.18708	1.92319	1.96134	2.15841	0	0.941668	0.396084
ENSG00000161850	6.17792	4.87599	4.87792	5.2846	4.72778	3.86364	0.396084
ENSG00000170454	6.47804	5.89624	5.91306	5.92164	5.39387	4.69537	0.396084
